transaction_id,customer_id,transaction_date,transaction_time,merchant,transaction_amount,location,payment_method,account_age_days,fraud_flag
T000001,C0082,2026-01-18,09:43,Target,126.22,Atlanta GA,Debit Card,1546,0
T000002,C0070,2026-01-12,12:14,Target,20.73,Miami FL,Debit Card,1064,0
T000003,C0078,2026-03-31,23:26,Walmart,359.43,Miami FL,Credit Card,481,0
T000004,C0058,2026-01-21,19:21,CVS,380.61,Jonesboro GA,Credit Card,599,0
T000005,C0020,2026-01-13,17:54,Amazon,50.91,Jonesboro GA,Credit Card,734,0
T000006,C0078,2026-02-18,08:35,Shell,270.43,Atlanta GA,Debit Card,630,0
T000007,C0081,2026-01-06,13:49,CVS,353.76,Jonesboro GA,Credit Card,622,0
T000008,C0011,2026-03-23,17:10,Amazon,142.6,Atlanta GA,Debit Card,788,0
T000009,C0046,2026-03-29,08:38,Amazon,352.4,Charlotte NC,Debit Card,1330,0
T000010,C0022,2026-02-18,14:59,Home Depot,85.88,Charlotte NC,Credit Card,1340,0
T000011,C0089,2026-01-08,13:52,Home Depot,422.21,Marietta GA,Debit Card,95,0
T000012,C0041,2026-03-14,16:13,Best Buy,109.44,Jonesboro GA,Credit Card,1372,0
T000013,C0064,2026-01-18,13:47,Best Buy,75.72,Charlotte NC,Debit Card,1179,0
T000014,C0069,2026-02-21,17:14,Shell,449.42,Charlotte NC,Debit Card,313,0
T000015,C0066,2026-01-20,11:50,PetSmart,431.25,Atlanta GA,Credit Card,1423,0
T000016,C0055,2026-03-01,22:16,CVS,193.9,Atlanta GA,Debit Card,1163,0
T000017,C0002,2026-02-13,09:18,Target,385.46,Charlotte NC,Debit Card,920,0
T000018,C0021,2026-01-23,22:58,PetSmart,486.08,Atlanta GA,Debit Card,247,0
T000019,C0081,2026-01-21,23:49,Shell,80.66,Charlotte NC,Credit Card,1919,0
T000020,C0068,2026-01-15,17:56,Walmart,246.86,Miami FL,Debit Card,1733,0
T000021,C0040,2026-01-11,08:46,Amazon,439.61,Atlanta GA,Credit Card,1025,0
T000022,C0009,2026-03-12,11:16,Home Depot,331.58,Marietta GA,Credit Card,1110,0
T000023,C0078,2026-02-21,17:28,Best Buy,357.91,Marietta GA,Credit Card,1872,0
T000024,C0067,2026-02-13,06:37,PetSmart,116.23,Atlanta GA,Credit Card,1164,0
T000025,C0030,2026-03-22,07:14,CVS,40.14,Marietta GA,Credit Card,168,0
